index,team_id,score,TeamCapture,NonTeamCapture,job_num,task_num,results_dir,num_rows,align_weight_t_1,autonomy_t_1,avoid_nonteam_weight_t_1,avoid_team_weight_t_1,centroid_weight_t_1,comms_range_t_1,fov_az_t_1,fov_el_t_1,goal_weight_t_1,max_speed_t_1,sphere_of_influence_t_1,motion_model_t_1,turn_rate_max_t_1,vel_max_t_1,motion_model_predator,pitch_rate_max_predator,turn_rate_max_predator,vel_max_predator,allow_prey_switching_t_2_predator,autonomy_t_2_predator,max_speed_t_2_predator
103,2,13.0,0.0,13.0,42260,9,2018-04-24_23-57-29_job_42260_task_9,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
104,1,0.0,0.0,0.0,42260,1,2018-04-24_23-57-30_job_42260_task_1,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
105,2,9.0,0.0,9.0,42260,1,2018-04-24_23-57-30_job_42260_task_1,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
106,1,0.0,0.0,0.0,42260,100,2018-04-24_23-57-30_job_42260_task_100,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
107,2,10.0,0.0,10.0,42260,100,2018-04-24_23-57-30_job_42260_task_100,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
108,1,0.0,0.0,0.0,42260,101,2018-04-24_23-57-30_job_42260_task_101,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
109,2,8.0,0.0,8.0,42260,101,2018-04-24_23-57-30_job_42260_task_101,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
110,1,0.0,0.0,0.0,42260,102,2018-04-24_23-57-30_job_42260_task_102,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
111,2,12.0,0.0,12.0,42260,102,2018-04-24_23-57-30_job_42260_task_102,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
112,1,0.0,0.0,0.0,42260,103,2018-04-24_23-57-30_job_42260_task_103,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
113,2,10.0,0.0,10.0,42260,103,2018-04-24_23-57-30_job_42260_task_103,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
114,1,0.0,0.0,0.0,42260,104,2018-04-24_23-57-30_job_42260_task_104,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
115,2,7.0,0.0,7.0,42260,104,2018-04-24_23-57-30_job_42260_task_104,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
